pos,signal,snr,fspl,label
1,-103,-13,-85.48644533,1
2,-109,-4.199999809,-75.13236377,1
3,-113,-5,-75.13236377,1
4,-105,3.799999952,-75.13236377,1
5,-113,-14.5,-85.27907234,1
6,-108,-2.799999952,-75.13236377,1
7,-115,-16.79999924,-81.31043895,1
8,-117,-4.800000191,-109.9096164,1
9,-119,-10.19999981,-109.9096164,1
10,-117,-9.5,-109.9096164,1
11,-115,-11.19999981,-90.16357484,1
12,-117,-12,-90.16357484,1
13,-115,-16.20000076,-90.16357484,1
14,-90,6.5,-83.4038217,1
15,-91,9.199999809,-83.4038217,1
16,-89,9,-83.4038217,1
17,-88,9,-83.4038217,1
18,-91,7,-83.4038217,1
19,-90,9.5,-83.4038217,1
20,-117,-10.5,-109.9096164,1
21,-104,-9.5,-111.4053228,1
22,-119,-12,-113.1211054,1
23,-117,-11.5,-113.1211054,1
24,-117,-13.80000019,-109.9096164,1
25,-117,-15.19999981,-104.4931654,1
26,-114,-15.80000019,-92.41200221,1
27,-117,-11.80000019,-113.1211054,1
28,-115,-14.19999981,-113.1211054,1
29,-114,-16.20000076,-104.4931654,1
30,-114,-14.5,-95.85878452,1
31,-119,-11.5,-109.9096164,1
32,-119,-13.80000019,-110.4141851,1
33,-116,-11.5,-113.1211054,1
34,-118,-16.20000076,-115.5768845,1
35,-102,-3.200000048,-111.4053228,1
36,-115,-10.5,-113.1211054,1
37,-115,-12,-109.9096164,1
38,-117,-10.80000019,-95.85878452,1
39,-115,-13.19999981,-113.1211054,1
40,-117,-13,-109.9096164,1
41,-115,-13.19999981,-90.43273481,1
42,-119,-8.199999809,-109.9096164,1
43,-114,-13.19999981,-113.1211054,1
44,-117,-9,-90.43273481,1
45,-104,-12,-111.4053228,1
46,-117,-6.5,-95.85878452,1
47,-117,-10.19999981,-113.1211054,1
48,-117,-10,-109.9096164,1
49,-114,-14,-109.9096164,1
50,-115,-13.5,-113.1211054,1
51,-117,-13.80000019,-110.4141851,1
52,-117,-14.19999981,-109.9096164,1
53,-105,-11.80000019,-111.4053228,1
54,-105,-11.19999981,-111.4053228,1
55,-105,-14.19999981,-110.4048146,1
56,-114,-12,-113.1211054,1
57,-114,-14.80000019,-109.9096164,1
58,-105,-6.5,-111.4053228,1
59,-117,-11.5,-90.43273481,1
60,-115,-9.5,-95.85878452,1
61,-114,-14,-113.1211054,1
62,-117,-12,-113.1211054,1
63,-117,-9.199999809,-109.9096164,1
64,-119,-17,-115.5768845,1
65,-98,-16.20000076,-111.4053228,1
66,-118,-10.5,-109.9096164,1
67,-105,-5.800000191,-87.44669796,1
68,-104,-3.200000048,-87.44669796,1
