pos,signal,snr,fspl,label
1,5.01E-14,-13,2.83E-12,1
2,1.26E-14,-4.199999809,3.07E-11,1
3,5.01E-15,-5,3.07E-11,1
4,3.16E-14,3.799999952,3.07E-11,1
5,5.01E-15,-14.5,2.97E-12,1
6,1.58E-14,-2.799999952,3.07E-11,1
7,3.16E-15,-16.79999924,7.40E-12,1
8,2.00E-15,-4.800000191,1.02E-14,1
9,1.26E-15,-10.19999981,1.02E-14,1
10,2.00E-15,-9.5,1.02E-14,1
11,3.16E-15,-11.19999981,9.63E-13,1
12,2.00E-15,-12,9.63E-13,1
13,3.16E-15,-16.20000076,9.63E-13,1
14,1.00E-12,6.5,4.57E-12,1
15,7.94E-13,9.199999809,4.57E-12,1
16,1.26E-12,9,4.57E-12,1
17,1.58E-12,9,4.57E-12,1
18,7.94E-13,7,4.57E-12,1
19,1.00E-12,9.5,4.57E-12,1
20,2.00E-15,-10.5,1.02E-14,1
21,3.98E-14,-9.5,7.24E-15,1
22,1.26E-15,-12,4.87E-15,1
23,2.00E-15,-11.5,4.87E-15,1
24,2.00E-15,-13.80000019,1.02E-14,1
25,2.00E-15,-15.19999981,3.55E-14,1
26,3.98E-15,-15.80000019,5.74E-13,1
27,2.00E-15,-11.80000019,4.87E-15,1
28,3.16E-15,-14.19999981,4.87E-15,1
29,3.98E-15,-16.20000076,3.55E-14,1
30,3.98E-15,-14.5,2.59E-13,1
31,1.26E-15,-11.5,1.02E-14,1
32,1.26E-15,-13.80000019,9.09E-15,1
33,2.51E-15,-11.5,4.87E-15,1
34,1.58E-15,-16.20000076,2.77E-15,1
35,6.31E-14,-3.200000048,7.24E-15,1
36,3.16E-15,-10.5,4.87E-15,1
37,3.16E-15,-12,1.02E-14,1
38,2.00E-15,-10.80000019,2.59E-13,1
39,3.16E-15,-13.19999981,4.87E-15,1
40,2.00E-15,-13,1.02E-14,1
41,3.16E-15,-13.19999981,9.05E-13,1
42,1.26E-15,-8.199999809,1.02E-14,1
43,3.98E-15,-13.19999981,4.87E-15,1
44,2.00E-15,-9,9.05E-13,1
45,3.98E-14,-12,7.24E-15,1
46,2.00E-15,-6.5,2.59E-13,1
47,2.00E-15,-10.19999981,4.87E-15,1
48,2.00E-15,-10,1.02E-14,1
49,3.98E-15,-14,1.02E-14,1
50,3.16E-15,-13.5,4.87E-15,1
51,2.00E-15,-13.80000019,9.09E-15,1
52,2.00E-15,-14.19999981,1.02E-14,1
53,3.16E-14,-11.80000019,7.24E-15,1
54,3.16E-14,-11.19999981,7.24E-15,1
55,3.16E-14,-14.19999981,9.11E-15,1
56,3.98E-15,-12,4.87E-15,1
57,3.98E-15,-14.80000019,1.02E-14,1
58,3.16E-14,-6.5,7.24E-15,1
59,2.00E-15,-11.5,9.05E-13,1
60,3.16E-15,-9.5,2.59E-13,1
61,3.98E-15,-14,4.87E-15,1
62,2.00E-15,-12,4.87E-15,1
63,2.00E-15,-9.199999809,1.02E-14,1
64,1.26E-15,-17,2.77E-15,1
65,1.58E-13,-16.20000076,7.24E-15,1
66,1.58E-15,-10.5,1.02E-14,1
67,3.16E-14,-5.800000191,1.80E-12,1
68,3.98E-14,-3.200000048,1.80E-12,1
69,5.01E-14,-0.200000003,1.80E-12,1
70,6.31E-14,-0.8000000119,1.80E-12,1
71,7.94E-14,0.200000003,1.80E-12,1
72,5.01E-14,-0.200000003,1.80E-12,1
73,1.26E-13,-6.199999809,1.36E-13,1
74,3.98E-14,-4.800000191,1.80E-12,1
75,2.00E-15,-16,3.28E-13,1
76,2.00E-15,-16,3.28E-13,1
77,7.94E-16,-5.5,2.59E-13,1
78,5.01E-15,-0.200000003,1.42E-12,1
79,7.94E-15,1.799999952,1.39E-12,1
80,3.16E-15,-9.199999809,8.28E-13,1
81,5.01E-14,-6.800000191,9.02E-13,1
82,3.98E-15,-7.199999809,1.39E-12,1
83,3.16E-15,-6.199999809,8.28E-13,1
84,3.16E-14,-12.19999981,9.02E-13,1
85,6.31E-15,-2,8.28E-13,1
86,2.00E-15,-6.5,1.39E-12,1
87,2.00E-15,0,1.42E-12,1
88,7.94E-14,-0.8000000119,9.02E-13,1
89,6.31E-15,-6.199999809,8.28E-13,1
90,3.16E-15,-10.19999981,1.39E-12,1
91,7.94E-16,-13.19999981,6.36E-14,1
92,3.98E-15,-7.5,1.42E-12,1
93,3.98E-14,-9.5,9.02E-13,1
94,1.58E-15,-15.5,1.39E-12,1
95,3.16E-15,-8.5,8.28E-13,1
96,5.01E-14,-3.5,9.02E-13,1
97,5.01E-14,-7,2.67E-13,1
98,1.00E-13,-14.80000019,8.40E-14,1
99,3.16E-14,-11.80000019,9.02E-13,1
100,2.00E-15,-6.5,1.42E-12,1
101,2.00E-15,-4,8.28E-13,1
102,2.00E-15,-4.800000191,1.39E-12,1
103,3.98E-14,-11.19999981,2.67E-13,1
104,3.16E-15,0.200000003,8.28E-13,1
105,1.58E-15,-5.199999809,1.42E-12,1
106,3.98E-15,-11,8.28E-13,1
107,6.31E-14,-8,2.67E-13,1
108,7.94E-14,-15.80000019,8.40E-14,1
109,3.16E-14,-16.79999924,9.61E-12,1
110,6.31E-14,-8.5,2.67E-13,1
111,5.01E-14,-5.5,9.02E-13,1
112,1.58E-15,-11.80000019,1.42E-12,1
113,2.51E-14,-18,9.61E-12,1
114,3.98E-14,-4.5,9.02E-13,1
115,7.94E-14,-15.19999981,8.40E-14,1
116,3.16E-15,-6.199999809,1.39E-12,1
117,1.00E-15,-9.800000191,1.42E-12,1
118,3.98E-14,-9.5,9.02E-13,1
